begin_ymd	dmID	cycle	phase	begin	end	duration_h	duration_m	magnitude	min	max	HIN_TEMP_PUP	HIN_RH_PUP	HIN_VPD_PUP	HIN_TEMP_BUP	HIN_RH_BUP	HIN_VPD_BUP	SER_TEMP	SER_RH	SER_VPD	SER_P	SER_RAD	year	HIN_TEMP_PUP_rel	HIN_RH_PUP_rel	HIN_VPD_PUP_rel	HIN_TEMP_BUP_rel	HIN_RH_BUP_rel	HIN_VPD_BUP_rel	SER_TEMP_rel	SER_RH_rel	SER_VPD_rel	HIN_TEMP_BUP_2	HIN_RH_BUP_2	HIN_VPD_BUP_2	HIN_TEMP_PUP_2	HIN_RH_PUP_2	HIN_VPD_PUP_2	SER_TEMP_2	SER_RH_2	SER_VPD_2	HIN_TEMP_PUP_3	HIN_RH_PUP_3	HIN_VPD_PUP_3	SM10	SM20	SM30	SM50	SM70	SM130	SM200	SMmean_up	SMmean_mid	SMmean_deep	SMmean	ST10	ST20	ST30	ST50	ST70	ST130	ST200	STmean_up	STmean_mid	STmean_deep	STmean	obs_1	obs_2
2014-04-11	mean_dt_scaled	28	1	11/4/14 5:00	11/4/14 14:00	9	540	1.178394808	-0.963194921	0.215199887	NA	NA	NA	NA	NA	NA	6.988888889	84.06666667	0.170010275	NA	74.66666667	2014	NA	NA	NA	NA	NA	NA	0.498986549	0.758437618	0.04574476	NA	NA	NA	NA	NA	NA	6.850861126	86.44054186	0.115278994	6.850861126	86.44054186	0.115278994	10.81805556	6.606740741	10.1	7.59	6.3	6.588	5.533592593	9.174932099	6.945	6.060796296	7.571711728	7.635166667	7.872	7.925185185	8.057777778	7.942703704	7.767888889	7.201574074	7.810783951	8.000240741	7.484731482	7.769805247	1	NA
2014-04-12	mean_dt_scaled	29	1	12/4/14 9:00	12/4/14 16:00	7	420	3.605918276	-1.945758267	1.660160009	NA	NA	NA	NA	NA	NA	12.87142857	67.7	0.515283272	NA	592.6428571	2014	NA	NA	NA	NA	NA	NA	0.596541104	0.572241183	0.112920252	NA	NA	NA	NA	NA	NA	11.96808532	70.98468608	0.423167127	11.96808532	70.98468608	0.423167127	10.79666667	6.643380952	10.11	7.59	6.284619048	6.588095238	5.54152381	9.183349207	6.937309524	6.064809524	7.573975397	7.8415	7.788047619	7.774285714	7.894285714	7.823619047	7.752904762	7.29052381	7.801277778	7.858952381	7.521714286	7.734711111	1	NA
2014-04-13	mean_dt_scaled	30	1	13/4/14 7:00	13/4/14 16:00	9	540	2.835915818	-1.667649314	1.168266503	NA	NA	NA	NA	NA	NA	11.85555556	62.13333333	0.562172396	NA	383.6	2014	NA	NA	NA	NA	NA	NA	0.579694122	0.508911642	0.122042889	NA	NA	NA	NA	NA	NA	11.08437688	65.72780642	0.464979274	11.08437688	65.72780642	0.464979274	10.60185185	6.609444444	10.12388889	7.6	6.257037037	6.575	5.544962963	9.111728395	6.928518519	6.059981481	7.541241358	8.381666667	8.271851852	8.246111111	8.072037037	7.821444445	7.726092593	7.319333334	8.299876543	7.946740741	7.522712963	7.960786728	1	NA
2014-04-14								2.5850882													299.58	2014																			8.04	75.22	0.26											7.7											7.6	1	NA
2014-04-15	mean_dt_scaled	31	1	15/4/14 6:00	15/4/14 15:00	9	540	2.486622677	-1.327327442	1.159295234	NA	NA	NA	NA	NA	NA	8.322222222	72.61111111	0.326531781	NA	312.4333333	2014	NA	NA	NA	NA	NA	NA	0.521098213	0.628112754	0.076197211	NA	NA	NA	NA	NA	NA	8.010728456	75.6224921	0.254852939	8.010728456	75.6224921	0.254852939	11.645	6.835888889	10.11425926	7.58	6.225222222	6.579296296	5.567148148	9.53171605	6.902611111	6.073222222	7.70543642	7.148111111	7.496592593	7.596814815	7.851814815	7.867666667	7.784296297	7.392611111	7.413839506	7.859740741	7.588453704	7.599994136	1	NA
2014-04-16																						2014																																												NA	1
2014-04-17																						2014																																												NA	1
2014-04-18																						2014																																												NA	1
2014-04-19																						2014																																												NA	1
2014-04-20																						2014																																												NA	1
2014-04-21																						2014																																												NA	1
2014-04-22				22/4/14 7:00	22/4/14 16:00			3.220170973	-2.397057446	0.823113527	NA	NA	NA	NA	NA	NA	18.46	64.03	0.89	NA	381.06	2014	NA	NA	NA	NA	NA	NA	0.69	0.53	0.19	NA	NA	NA	NA	NA	NA	16.83	67.52	0.76	16.83	67.52	0.76	10.38	6.81	10.37	7.6	6.11	6.55	5.61	9.19	6.85	6.08	7.55	10.69	10.1	9.59	9.16	8.43	7.98	7.51	10.12	8.8	7.75	9.01	1	NA
2014-04-23	mean_dt_scaled	33	1	23/4/14 10:00	23/4/14 19:00	9	540	1.473055893	-0.224197185	1.248858708	NA	NA	NA	NA	NA	NA	15.57777778	84.86666667	0.281451265	NA	252.4	2014	NA	NA	NA	NA	NA	NA	0.641422517	0.76753887	0.067426454	NA	NA	NA	NA	NA	NA	14.32233984	87.19602157	0.214653572	14.32233984	87.19602157	0.214653572	10.48277778	6.839333333	10.37833333	7.59	6.098259259	6.555	5.622703704	9.233481481	6.84412963	6.088851852	7.573287037	11.46972223	10.69314815	10.08814815	9.606111111	8.871111111	8.269907408	7.573592593	10.75033951	9.238611111	7.92175	9.448244136	1	NA
2014-04-24	mean_dt_scaled	34	1	24/4/14 7:00	24/4/14 15:00	8	480	0.946080176	-0.672912702	0.273167474	NA	NA	NA	NA	NA	NA	12.725	84.3625	0.247431037	NA	234.575	2014	NA	NA	NA	NA	NA	NA	0.59411277	0.761803186	0.060807559	NA	NA	NA	NA	NA	NA	11.84070704	86.71991196	0.184316927	11.84070704	86.71991196	0.184316927	10.4784375	6.817166667	10.37625	7.598041667	6.099875	6.565	5.633041667	9.223951389	6.848958334	6.099020833	7.573974306	10.57625	10.40354167	10.19604167	9.788958334	9.122291667	8.481875	7.603500001	10.39194445	9.455625	8.0426875	9.406271528	1	NA
2014-04-25	mean_dt_scaled	35	1	25/4/14 7:00	25/4/14 15:00	8	480	3.631668468	-1.961602887	1.670065582	NA	NA	NA	NA	NA	NA	18.6875	62.35	1.015382128	NA	570.1625	2014	NA	NA	NA	NA	NA	NA	0.692993367	0.511376564	0.210218296	NA	NA	NA	NA	NA	NA	17.02748875	65.93241552	0.869117158	17.02748875	65.93241552	0.869117158	10.29635417	6.790625	10.353125	7.593458333	6.083	6.5690625	5.6305625	9.146701389	6.838229167	6.0998125	7.540093055	10.6175	10.36333333	10.20208333	9.792291667	9.279583333	8.688125	7.690791667	10.39430556	9.5359375	8.189458334	9.475340972	1	NA
2014-04-26	mean_dt_scaled	36	1	26/4/14 7:00	26/4/14 17:00	10	600	2.295646682	-1.220138404	1.075508278	NA	NA	NA	NA	NA	NA	18.9	64.17	0.940516497	NA	497.99	2014	NA	NA	NA	NA	NA	NA	0.696517413	0.532081911	0.195652617	NA	NA	NA	NA	NA	NA	17.21234261	67.65113186	0.802357696	17.21234261	67.65113186	0.802357696	9.987750001	6.747066667	10.18666667	7.577533333	6.062266667	6.566466667	5.6374	8.973827778	6.8199	6.101933333	7.466081111	11.1295	10.7735	10.49716667	10.04433333	9.463333333	8.85325	7.785283334	10.80005556	9.753833333	8.319266667	9.741952222	1	NA
